@RELATION BOOKKEEPER5TestDataset

@ATTRIBUTE versionname REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}
@DATA
6,1,0,212,0,0,0,73,73,73,no
6,2,1,274,1,1,0,85,73,42,no
6,2,1,461,1,1,0,85,73,42,no
6,1,0,138,0,0,0,73,73,73,no
6,0,0,358,0,0,0,0,0,0,no
6,0,0,161,0,0,0,0,0,0,no
6,0,0,85,0,0,0,0,0,0,no
6,8,1,1307,94,82,11,168,73,21,no
6,0,0,51,0,0,0,0,0,0,no
6,1,0,45,45,45,45,11,11,11,no
6,0,0,157,0,0,0,0,0,0,no
6,0,0,31,0,0,0,0,0,0,no
6,3,0,1540,-1,0,0,37,14,12,yes
6,2,0,55,55,45,27,36,25,18,no
6,3,0,204,11,17,3,48,25,16,no
6,1,0,55,55,55,55,9,9,9,no
6,1,0,103,103,103,103,9,9,9,no
6,0,0,34,0,0,0,0,0,0,no
6,1,1,83,0,0,0,2,2,2,no
6,1,0,438,0,0,0,73,73,73,no
6,1,0,83,83,83,83,14,14,14,no
6,0,0,129,0,0,0,0,0,0,no
6,4,1,873,229,196,57,41,13,10,no
6,0,0,440,0,0,0,0,0,0,no
6,0,0,40,0,0,0,0,0,0,no
6,3,0,387,13,12,4,97,73,32,no
6,1,0,393,0,0,0,73,73,73,no
6,0,0,51,0,0,0,0,0,0,no
6,5,2,637,58,30,11,46,13,9,no
6,0,0,31,0,0,0,0,0,0,no
6,1,0,68,2,2,2,14,14,14,no
6,2,0,564,547,404,273,24,14,12,no
6,4,0,588,566,547,141,48,14,12,no
6,5,1,352,54,33,10,118,73,23,no
6,4,0,973,243,241,60,120,73,30,no
6,2,0,275,13,13,6,98,73,49,no
6,1,0,31,31,31,31,14,14,14,no
6,0,0,50,0,0,0,0,0,0,no
6,0,0,27,0,0,0,0,0,0,no
6,2,0,183,-751,0,-375,24,14,12,no
6,1,0,50,-10,0,-10,14,14,14,no
6,0,0,62,0,0,0,0,0,0,no
6,1,0,87,0,0,0,73,73,73,no
6,0,0,52,0,0,0,0,0,0,no
6,5,0,419,76,61,15,121,73,24,no
6,1,0,224,61,61,61,14,14,14,no
6,0,0,118,0,0,0,0,0,0,no
6,0,0,83,0,0,0,0,0,0,no
6,0,0,147,0,0,0,0,0,0,no
6,1,0,58,0,0,0,13,13,13,no
6,0,0,44,0,0,0,0,0,0,no
6,0,0,108,0,0,0,0,0,0,no
6,0,0,238,0,0,0,0,0,0,no
6,0,0,43,0,0,0,0,0,0,no
6,0,0,186,0,0,0,0,0,0,no
6,2,0,189,-3,0,-1,98,73,49,no
6,0,0,151,0,0,0,0,0,0,no
6,0,0,364,0,0,0,0,0,0,no
6,1,0,910,97,97,97,13,13,13,no
6,1,0,902,0,0,0,73,73,73,yes
6,1,0,43,41,41,41,13,13,13,no
6,0,0,325,0,0,0,0,0,0,no
6,0,0,27,0,0,0,0,0,0,no
6,0,0,55,0,0,0,0,0,0,no
6,0,0,93,0,0,0,0,0,0,no
6,0,0,191,0,0,0,0,0,0,no
6,0,0,90,0,0,0,0,0,0,no
6,0,0,89,0,0,0,0,0,0,no
6,1,0,273,0,0,0,73,73,73,no
6,1,0,152,14,14,14,13,13,13,no
6,1,0,90,11,11,11,13,13,13,no
6,1,0,82,0,0,0,73,73,73,no
6,0,0,147,0,0,0,0,0,0,no
6,1,0,421,0,0,0,73,73,73,no
6,3,2,1190,33,21,11,29,13,9,yes
6,0,0,528,0,0,0,0,0,0,no
6,2,1,205,16,16,8,25,13,12,yes
6,1,1,190,23,23,23,2,2,2,no
6,1,0,86,0,0,0,73,73,73,no
6,3,1,212,12,10,4,90,73,30,yes
