Dataset;#Training;Classifier;%training;%defective in training;%defective in testing;Feature Selection;Balancing;Precision;Recall;F1;AUPRC;ROC_Area;Kappa
BOOKKEEPER;1;Naive Bayes;9;45.0;37.542;No;No;0.56;0.86;0.68;0.61;0.79;0.42
BOOKKEEPER;1;Naive Bayes;9;45.0;37.542;Yes;No;0.56;0.86;0.68;0.62;0.79;0.41
BOOKKEEPER;1;Random Forest;9;45.0;37.542;No;No;0.56;0.88;0.69;0.74;0.85;0.42
BOOKKEEPER;1;Random Forest;9;45.0;37.542;Yes;No;0.60;0.88;0.71;0.75;0.85;0.48
BOOKKEEPER;1;IBK;9;45.0;37.542;No;No;0.57;0.87;0.69;0.55;0.74;0.42
BOOKKEEPER;1;IBK;9;45.0;37.542;Yes;No;0.57;0.86;0.69;0.55;0.75;0.43
BOOKKEEPER;1;Naive Bayes;9;45.0;37.542;No;SMOTE;0.56;0.88;0.69;0.61;0.78;0.43
BOOKKEEPER;1;Naive Bayes;9;45.0;37.542;Yes;SMOTE;0.56;0.89;0.69;0.62;0.79;0.43
BOOKKEEPER;1;Random Forest;9;45.0;37.542;No;SMOTE;0.57;0.90;0.70;0.74;0.85;0.44
BOOKKEEPER;1;Random Forest;9;45.0;37.542;Yes;SMOTE;0.59;0.89;0.71;0.75;0.85;0.46
BOOKKEEPER;1;IBK;9;45.0;37.542;No;SMOTE;0.51;0.88;0.65;0.50;0.70;0.33
BOOKKEEPER;1;IBK;9;45.0;37.542;Yes;SMOTE;0.51;0.88;0.65;0.50;0.70;0.33
BOOKKEEPER;1;Naive Bayes;9;45.0;37.542;No;OverSampling;0.89;0.73;0.80;0.89;0.91;0.67
BOOKKEEPER;1;Naive Bayes;9;45.0;37.542;Yes;OverSampling;0.67;0.81;0.73;0.69;0.81;0.51
BOOKKEEPER;1;Random Forest;9;45.0;37.542;No;OverSampling;0.94;0.94;0.94;0.98;0.99;0.88
BOOKKEEPER;1;Random Forest;9;45.0;37.542;Yes;OverSampling;0.76;0.90;0.83;0.85;0.91;0.69
BOOKKEEPER;1;IBK;9;45.0;37.542;No;OverSampling;0.93;0.94;0.94;0.94;0.96;0.88
BOOKKEEPER;1;IBK;9;45.0;37.542;Yes;OverSampling;0.73;0.90;0.80;0.75;0.87;0.64
BOOKKEEPER;1;Naive Bayes;9;45.0;37.542;No;UnderSampling;0.89;0.73;0.80;0.89;0.90;0.67
BOOKKEEPER;1;Naive Bayes;9;45.0;37.542;Yes;UnderSampling;0.67;0.80;0.73;0.69;0.81;0.51
BOOKKEEPER;1;Random Forest;9;45.0;37.542;No;UnderSampling;0.95;0.98;0.97;1.00;1.00;0.94
BOOKKEEPER;1;Random Forest;9;45.0;37.542;Yes;UnderSampling;0.74;0.94;0.83;0.85;0.92;0.68
BOOKKEEPER;1;IBK;9;45.0;37.542;No;UnderSampling;0.96;0.97;0.97;0.96;0.98;0.94
BOOKKEEPER;1;IBK;9;45.0;37.542;Yes;UnderSampling;0.73;0.92;0.81;0.71;0.85;0.65
BOOKKEEPER;2;Naive Bayes;21;40.85;20.273;No;No;0.54;0.36;0.43;0.49;0.80;0.32
BOOKKEEPER;2;Naive Bayes;21;40.85;20.273;Yes;No;0.51;0.46;0.48;0.46;0.74;0.36
