FileName;Version Name;#Revision;#FixCommit;Size;Churn;MaxChurn;AvgChurn;ChgSetSize;MaxChgSetSize;AvgChgSetSize;Buggy
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java;1;0;0;137;0;0;0;0;0;0;no
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java;1;2;0;244;124;123;62.00;11;8;5.50;no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;1;20;11;1026;-262;53;-13.10;187;26;9.35;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java;1;2;1;92;58;53;29.00;46;26;23.00;no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java;1;0;0;180;0;0;0;0;0;0;no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;1;12;7;471;2;59;0.17;98;26;8.17;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java;1;4;3;204;51;20;12.75;27;12;6.75;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java;1;8;4;551;-505;21;-63.13;78;20;9.75;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java;1;5;2;149;-87;30;-17.40;44;12;8.80;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java;1;2;1;157;6;4;3.00;42;26;21.00;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java;1;0;0;147;0;0;0;0;0;0;no
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java;1;1;1;137;2;2;2.00;16;16;16.00;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java;1;1;1;271;11;11;11.00;15;15;15.00;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;1;6;6;548;34;68;5.67;37;8;6.17;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java;1;4;3;728;72;62;18.00;51;26;12.75;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java;1;3;3;205;11;7;3.67;20;8;6.67;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java;1;1;0;50;5;5;5.00;4;4;4.00;no
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java;1;3;2;185;-1;1;-0.33;54;26;18.00;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java;1;1;1;61;4;4;4.00;12;12;12.00;no
