@RELATION OPENJPA13TrainingDataset

@ATTRIBUTE versionname REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}
@DATA
1,3,0,73,76,58,25,312,300,104,no
1,3,0,69,72,54,24,312,300,104,no
1,2,0,62,3,3,1,522,300,261,no
1,1,0,100,3,3,3,300,300,300,no
1,1,0,212,3,3,3,300,300,300,no
1,2,0,258,4,3,2,344,300,172,no
1,1,0,148,3,3,3,300,300,300,no
1,1,0,50,3,3,3,300,300,300,no
1,3,0,602,2,3,0,547,300,182,no
1,5,0,880,10,6,2,411,300,82,no
1,6,0,48,-1,3,0,406,300,67,no
1,1,0,58,3,3,3,300,300,300,no
1,3,0,159,4,3,1,348,300,116,no
1,2,0,60,2,3,1,309,300,154,no
1,2,0,135,3,3,1,522,300,261,no
1,4,0,168,29,47,7,309,300,77,no
1,3,0,366,-7,3,-2,337,300,112,no
1,4,0,259,3,3,0,370,300,92,no
1,1,0,32,3,3,3,300,300,300,no
1,5,1,243,20,17,4,561,300,112,yes
1,1,0,42,3,3,3,300,300,300,no
1,1,0,126,3,3,3,300,300,300,no
1,1,0,58,3,3,3,300,300,300,no
1,2,0,169,4,3,2,344,300,172,no
1,5,1,172,38,35,7,561,300,112,yes
1,5,1,322,26,20,5,341,300,68,yes
1,1,0,46,3,3,3,300,300,300,no
1,1,0,38,3,3,3,300,300,300,no
1,3,0,94,1,3,0,566,300,188,no
1,10,1,1384,4,4,0,420,300,42,yes
1,7,0,639,21,18,3,449,300,64,no
1,1,0,43,3,3,3,300,300,300,no
1,1,0,455,3,3,3,300,300,300,no
1,4,0,364,11,4,2,346,300,86,no
1,2,0,218,4,3,2,310,300,155,no
1,5,2,438,19,24,3,326,300,65,yes
1,3,0,177,-6,3,-2,307,300,102,no
1,1,0,44,3,3,3,300,300,300,no
1,2,0,124,0,3,0,347,300,173,no
1,2,0,77,10,7,5,379,300,189,no
1,1,0,128,3,3,3,300,300,300,no
1,4,0,256,61,59,15,371,300,92,no
1,1,0,156,3,3,3,300,300,300,no
1,5,0,632,13,10,2,348,300,69,yes
1,1,0,40,3,3,3,300,300,300,no
1,1,0,200,3,3,3,300,300,300,no
1,2,0,52,9,6,4,302,300,151,no
1,2,0,78,6,3,3,379,300,189,no
1,2,0,163,-27,3,-13,379,300,189,no
1,1,0,34,3,3,3,300,300,300,no
1,2,0,81,-7,3,-3,379,300,189,no
1,1,0,34,3,3,3,300,300,300,no
1,2,0,194,17,14,8,379,300,189,no
1,1,0,41,3,3,3,300,300,300,no
1,3,0,46,49,31,16,444,300,148,no
1,2,0,70,-6,3,-3,379,300,189,no
1,2,0,72,-5,3,-2,379,300,189,no
1,3,0,128,-3,3,-1,423,300,141,no
1,2,0,91,-7,3,-3,379,300,189,no
1,2,0,146,-25,3,-12,379,300,189,no
1,3,0,190,-11,3,-3,423,300,141,no
1,3,0,104,24,22,8,423,300,141,no
1,2,0,67,-6,3,-3,379,300,189,no
1,2,0,203,21,18,10,379,300,189,no
1,2,0,60,1,3,0,379,300,189,no
1,2,0,43,0,3,0,379,300,189,no
1,2,0,52,0,3,0,379,300,189,no
1,2,0,67,0,3,0,379,300,189,no
1,2,0,40,-2,3,-1,379,300,189,no
1,2,0,48,-4,3,-2,379,300,189,no
1,2,0,195,-4,3,-2,379,300,189,no
1,3,0,75,3,3,1,380,300,126,no
1,2,0,56,-13,3,-6,379,300,189,no
1,3,0,53,56,38,18,444,300,148,no
1,3,0,41,44,26,14,444,300,148,no
1,2,0,221,-13,3,-6,379,300,189,no
1,1,0,103,3,3,3,300,300,300,no
1,2,0,98,0,3,0,379,300,189,no
