@RELATION OPENJPA1TestDataset

@ATTRIBUTE versionname REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}
@DATA
2,1,1,76,0,0,0,99,99,99,no
2,0,0,72,0,0,0,0,0,0,no
2,0,0,197,0,0,0,0,0,0,no
2,1,1,170,0,0,0,99,99,99,no
2,0,0,65,0,0,0,0,0,0,no
2,0,0,103,0,0,0,0,0,0,no
2,2,2,215,4,4,2,188,99,94,no
2,3,2,261,51,36,17,201,99,67,no
2,0,0,151,0,0,0,0,0,0,no
2,0,0,53,0,0,0,0,0,0,no
2,0,0,605,0,0,0,0,0,0,no
2,2,0,883,3,2,1,12,11,6,no
2,0,0,51,0,0,0,0,0,0,no
2,0,0,61,0,0,0,0,0,0,no
2,0,0,162,0,0,0,0,0,0,no
2,2,2,63,5,5,2,188,99,94,no
2,0,0,138,0,0,0,0,0,0,no
2,0,0,218,0,0,0,0,0,0,no
2,1,0,369,0,0,0,4,4,4,no
2,0,0,262,0,0,0,0,0,0,no
2,0,0,35,0,0,0,0,0,0,no
2,0,0,263,0,0,0,0,0,0,no
2,0,0,45,0,0,0,0,0,0,no
2,0,0,129,0,0,0,0,0,0,no
2,0,0,61,0,0,0,0,0,0,no
2,0,0,172,0,0,0,0,0,0,no
2,0,0,210,0,0,0,0,0,0,no
2,1,0,348,0,0,0,1,1,1,no
2,0,0,49,0,0,0,0,0,0,no
2,0,0,41,0,0,0,0,0,0,no
2,0,0,97,0,0,0,0,0,0,no
2,1,1,1387,0,0,0,99,99,99,no
2,1,1,649,4,4,4,12,12,12,no
2,0,0,46,0,0,0,0,0,0,no
2,0,0,458,0,0,0,0,0,0,no
2,0,0,371,0,0,0,0,0,0,no
2,2,0,221,0,134,0,7,6,3,no
2,0,0,460,0,0,0,0,0,0,no
2,0,0,171,0,0,0,0,0,0,no
2,0,0,47,0,0,0,0,0,0,no
2,3,1,127,0,0,0,6,4,2,no
2,0,0,80,0,0,0,0,0,0,no
2,0,0,131,0,0,0,0,0,0,no
2,0,0,318,0,0,0,0,0,0,no
2,0,0,159,0,0,0,0,0,0,no
2,1,1,638,19,19,19,3,3,3,yes
2,0,0,43,0,0,0,0,0,0,no
2,0,0,203,0,0,0,0,0,0,no
2,0,0,55,0,0,0,0,0,0,no
2,1,0,81,4,4,4,22,22,22,no
2,0,0,166,0,0,0,0,0,0,no
2,0,0,37,0,0,0,0,0,0,no
2,0,0,84,0,0,0,0,0,0,no
2,0,0,37,0,0,0,0,0,0,no
2,0,0,197,0,0,0,0,0,0,no
2,0,0,44,0,0,0,0,0,0,no
2,0,0,49,0,0,0,0,0,0,no
2,0,0,73,0,0,0,0,0,0,no
2,0,0,75,0,0,0,0,0,0,no
2,0,0,131,0,0,0,0,0,0,no
2,0,0,94,0,0,0,0,0,0,no
2,0,0,149,0,0,0,0,0,0,no
2,0,0,193,0,0,0,0,0,0,no
2,1,0,107,2,2,2,64,64,64,no
2,0,0,70,0,0,0,0,0,0,no
2,4,1,206,14,11,3,199,99,49,no
2,0,0,63,0,0,0,0,0,0,no
2,0,0,46,0,0,0,0,0,0,no
2,0,0,55,0,0,0,0,0,0,no
2,0,0,70,0,0,0,0,0,0,no
2,0,0,43,0,0,0,0,0,0,no
2,0,0,51,0,0,0,0,0,0,no
2,2,0,198,9,9,4,36,22,18,no
2,0,0,78,0,0,0,0,0,0,no
2,0,0,59,0,0,0,0,0,0,no
2,0,0,56,0,0,0,0,0,0,no
2,0,0,44,0,0,0,0,0,0,no
2,0,0,224,0,0,0,0,0,0,no
2,2,0,106,13,13,6,36,22,18,no
2,2,0,101,12,12,6,36,22,18,no
2,0,0,83,0,0,0,0,0,0,no
2,0,0,210,0,0,0,0,0,0,no
2,0,0,176,0,0,0,0,0,0,no
2,0,0,47,0,0,0,0,0,0,no
2,0,0,224,0,0,0,0,0,0,no
2,0,0,47,0,0,0,0,0,0,no
2,0,0,93,0,0,0,0,0,0,no
2,0,0,47,0,0,0,0,0,0,no
2,0,0,145,0,0,0,0,0,0,no
2,0,0,168,0,0,0,0,0,0,no
2,0,0,65,0,0,0,0,0,0,no
2,0,0,65,0,0,0,0,0,0,no
2,0,0,45,0,0,0,0,0,0,no
2,0,0,399,0,0,0,0,0,0,no
2,0,0,47,0,0,0,0,0,0,no
2,0,0,32,0,0,0,0,0,0,no
2,0,0,56,0,0,0,0,0,0,no
2,0,0,61,0,0,0,0,0,0,no
2,1,1,104,0,0,0,11,11,11,no
