@RELATION OPENJPA8TestDataset

@ATTRIBUTE REAL REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}

@DATA
9,6,1,76,1,12,0.50,13,9,6.50,no
9,3,0,72,0,0,0,0,0,0,no
9,0,0,197,0,0,0,0,0,0,no
9,1,1,170,0,0,0,0,0,0,no
9,0,0,120,0,0,0,0,0,0,no
9,8,4,243,0,0,0,0,0,0,no
9,6,2,312,0,0,0,0,0,0,no
9,3,1,152,0,0,0,0,0,0,no
9,1,0,53,0,0,0,0,0,0,no
9,5,0,626,0,0,0,0,0,0,no
9,19,5,884,2,1,1.00,182,175,91.00,no
9,8,0,51,10,10,10.00,5,5,5.00,no
9,1,0,61,0,0,0,0,0,0,no
9,3,0,162,0,0,0,0,0,0,no
9,5,2,68,0,0,0,0,0,0,no
9,1,0,86,0,0,0,0,0,0,no
9,3,0,146,0,0,0,0,0,0,no
9,11,5,214,1,1,0.50,177,175,88.50,no
9,12,3,386,4,4,2.00,182,175,91.00,no
9,1,0,72,0,0,0.00,175,175,175.00,no
9,0,0,74,0,0,0,0,0,0,no
9,2,1,327,0,0,0.00,175,175,175.00,no
9,6,0,265,0,0,0,0,0,0,no
9,1,0,35,0,0,0,0,0,0,no
9,8,1,545,1,1,0.33,594,300,198.00,no
9,6,2,297,0,0,0,0,0,0,no
9,1,0,45,0,0,0,0,0,0,no
9,1,0,129,0,0,0,0,0,0,no
9,1,0,61,0,0,0,0,0,0,no
9,0,0,65,0,0,0,0,0,0,no
9,11,0,161,0,4,0.00,46,15,9.20,no
9,6,2,244,0,0,0,0,0,0,no
9,10,2,382,43,43,43.00,32,32,32.00,no
9,1,0,49,0,0,0,0,0,0,no
9,1,0,41,0,0,0,0,0,0,no
9,4,1,97,10,10,10.00,1,1,1.00,no
9,41,14,1769,75,38,6.82,265,175,24.09,no
9,24,11,957,105,80,26.25,241,175,60.25,no
9,1,0,46,0,0,0,0,0,0,no
9,2,0,465,0,0,0,0,0,0,no
9,12,3,383,0,2,0.00,3,2,1.50,no
9,4,0,221,0,0,0,0,0,0,no
9,5,2,460,0,0,0,0,0,0,no
9,7,0,213,0,0,0,0,0,0,no
9,1,0,47,0,0,0,0,0,0,no
9,17,5,162,26,24,6.50,185,175,46.25,no
9,3,1,82,0,0,0,0,0,0,no
9,1,0,131,0,0,0,0,0,0,no
9,18,2,395,-2,1,-0.67,206,175,68.67,no
9,2,0,159,0,0,0,0,0,0,no
9,23,5,898,29,12,5.80,238,175,47.60,no
9,1,0,43,0,0,0,0,0,0,no
9,3,0,206,0,0,0,0,0,0,no
9,3,1,59,0,0,0,0,0,0,no
9,9,2,89,9,5,4.50,39,29,19.50,no
9,3,0,166,0,0,0,0,0,0,no
9,2,1,37,0,0,0,0,0,0,no
9,2,0,84,0,0,0,0,0,0,no
9,2,1,37,0,0,0,0,0,0,no
9,4,1,201,13,13,13.00,12,12,12.00,no
9,1,0,44,0,0,0,0,0,0,no
9,3,0,49,0,0,0,0,0,0,no
9,2,0,73,0,0,0,0,0,0,no
9,2,0,75,0,0,0,0,0,0,no
9,5,0,131,10,6,5.00,54,41,27.00,no
9,3,0,94,0,0,0,0,0,0,no
9,4,1,161,0,0,0,0,0,0,no
9,4,0,193,0,0,0,0,0,0,no
9,4,0,109,0,0,0,0,0,0,no
9,2,0,70,0,0,0,0,0,0,no
9,8,3,220,15,11,7.50,41,29,20.50,no
9,3,0,63,0,0,0.00,10,10,10.00,no
9,2,0,46,0,0,0,0,0,0,no
9,2,0,55,0,0,0,0,0,0,no
9,2,0,70,0,0,0,0,0,0,yes
9,4,2,44,0,0,0,0,0,0,no
9,2,0,51,0,0,0,0,0,0,no
9,5,0,207,4,4,4.00,10,10,10.00,no
9,4,0,78,0,0,0.00,4,4,4.00,no
9,2,0,59,0,0,0,0,0,0,no
9,3,0,56,0,0,0,0,0,0,no
9,3,0,44,0,0,0,0,0,0,no
9,3,0,224,0,0,0,0,0,0,no
9,4,0,119,6,6,6.00,10,10,10.00,no
9,5,0,113,4,4,4.00,10,10,10.00,no
9,1,0,83,0,0,0,0,0,0,no
9,4,0,213,0,0,0,0,0,0,no
9,3,0,176,0,0,0,0,0,0,no
9,3,0,47,0,0,0,0,0,0,no
9,7,1,224,0,0,0,0,0,0,no
9,2,0,47,0,0,0,0,0,0,no
9,2,0,93,0,0,0,0,0,0,no
9,2,0,47,0,0,0,0,0,0,no
9,4,1,156,0,0,0,0,0,0,no
9,3,0,168,0,0,0,0,0,0,no
9,2,0,65,0,0,0,0,0,0,no
9,2,0,65,0,0,0,0,0,0,no
9,1,0,45,0,0,0,0,0,0,no
9,21,1,403,8,15,1.00,253,175,31.63,yes
9,1,0,47,0,0,0,0,0,0,no
9,1,0,32,0,0,0,0,0,0,no
9,1,0,56,0,0,0,0,0,0,no
9,1,0,61,0,0,0,0,0,0,no
