Dataset;#Training;Classifier;%training;%defective in training;%defective in testing;Feature Selection;Balancing;Precision;Recall;F1;AUPRC;ROC_Area;Kappa
OPENJPA;1;Naive Bayes;3;5.882;3.114;No;No;0.15;0.74;0.25;0.15;0.87;0.21
OPENJPA;1;Naive Bayes;3;5.882;3.114;Yes;No;0.14;0.73;0.23;0.15;0.85;0.19
OPENJPA;1;Random Forest;3;5.882;3.114;No;No;0.16;0.46;0.24;0.32;0.84;0.21
OPENJPA;1;Random Forest;3;5.882;3.114;Yes;No;0.18;0.51;0.27;0.21;0.85;0.23
OPENJPA;1;IBK;3;5.882;3.114;No;No;0.21;0.43;0.29;0.11;0.76;0.25
OPENJPA;1;IBK;3;5.882;3.114;Yes;No;0.21;0.53;0.30;0.13;0.81;0.27
OPENJPA;1;Naive Bayes;3;5.882;3.114;No;SMOTE;0.13;0.74;0.22;0.15;0.86;0.18
OPENJPA;1;Naive Bayes;3;5.882;3.114;Yes;SMOTE;0.13;0.73;0.22;0.14;0.84;0.18
OPENJPA;1;Random Forest;3;5.882;3.114;No;SMOTE;0.15;0.49;0.23;0.19;0.83;0.19
OPENJPA;1;Random Forest;3;5.882;3.114;Yes;SMOTE;0.17;0.53;0.26;0.20;0.85;0.22
OPENJPA;1;IBK;3;5.882;3.114;No;SMOTE;0.19;0.43;0.26;0.10;0.75;0.23
OPENJPA;1;IBK;3;5.882;3.114;Yes;SMOTE;0.20;0.53;0.29;0.13;0.81;0.26
OPENJPA;1;Naive Bayes;3;5.882;3.114;No;OverSampling;0.46;0.77;0.58;0.52;0.89;0.55
OPENJPA;1;Naive Bayes;3;5.882;3.114;Yes;OverSampling;0.24;0.78;0.36;0.23;0.84;0.32
OPENJPA;1;Random Forest;3;5.882;3.114;No;OverSampling;0.81;1.00;0.90;0.97;1.00;0.89
OPENJPA;1;Random Forest;3;5.882;3.114;Yes;OverSampling;0.35;0.86;0.50;0.60;0.96;0.46
OPENJPA;1;IBK;3;5.882;3.114;No;OverSampling;0.74;1.00;0.85;0.85;0.99;0.84
OPENJPA;1;IBK;3;5.882;3.114;Yes;OverSampling;0.37;0.89;0.52;0.41;0.93;0.49
OPENJPA;1;Naive Bayes;3;5.882;3.114;No;UnderSampling;0.34;0.80;0.48;0.42;0.90;0.43
OPENJPA;1;Naive Bayes;3;5.882;3.114;Yes;UnderSampling;0.20;0.82;0.33;0.22;0.86;0.27
OPENJPA;1;Random Forest;3;5.882;3.114;No;UnderSampling;0.31;1.00;0.47;0.80;0.98;0.42
OPENJPA;1;Random Forest;3;5.882;3.114;Yes;UnderSampling;0.21;0.94;0.34;0.40;0.94;0.29
OPENJPA;1;IBK;3;5.882;3.114;No;UnderSampling;0.29;1.00;0.45;0.29;0.92;0.39
OPENJPA;1;IBK;3;5.882;3.114;Yes;UnderSampling;0.19;0.96;0.32;0.18;0.88;0.26
OPENJPA;2;Naive Bayes;6;4.431;3.147;No;No;0.20;0.38;0.26;0.21;0.88;0.23
OPENJPA;2;Naive Bayes;6;4.431;3.147;Yes;No;0.21;0.43;0.28;0.20;0.84;0.25
OPENJPA;2;Random Forest;6;4.431;3.147;No;No;0.44;0.30;0.36;0.37;0.88;0.34
OPENJPA;2;Random Forest;6;4.431;3.147;Yes;No;0.47;0.31;0.38;0.38;0.88;0.36
OPENJPA;2;IBK;6;4.431;3.147;No;No;0.32;0.38;0.34;0.17;0.84;0.32
OPENJPA;2;IBK;6;4.431;3.147;Yes;No;0.40;0.40;0.40;0.21;0.85;0.38
OPENJPA;2;Naive Bayes;6;4.431;3.147;No;SMOTE;0.21;0.43;0.28;0.21;0.87;0.25
OPENJPA;2;Naive Bayes;6;4.431;3.147;Yes;SMOTE;0.21;0.45;0.28;0.19;0.83;0.25
OPENJPA;2;Random Forest;6;4.431;3.147;No;SMOTE;0.41;0.28;0.33;0.33;0.86;0.31
OPENJPA;2;Random Forest;6;4.431;3.147;Yes;SMOTE;0.46;0.31;0.37;0.37;0.87;0.36
OPENJPA;2;IBK;6;4.431;3.147;No;SMOTE;0.31;0.40;0.35;0.17;0.84;0.33
OPENJPA;2;IBK;6;4.431;3.147;Yes;SMOTE;0.38;0.43;0.40;0.21;0.86;0.38
OPENJPA;2;Naive Bayes;6;4.431;3.147;No;OverSampling;0.29;0.55;0.38;0.29;0.87;0.34
OPENJPA;2;Naive Bayes;6;4.431;3.147;Yes;OverSampling;0.25;0.55;0.35;0.25;0.86;0.31
OPENJPA;2;Random Forest;6;4.431;3.147;No;OverSampling;0.79;1.00;0.88;1.00;1.00;0.87
OPENJPA;2;Random Forest;6;4.431;3.147;Yes;OverSampling;0.68;0.84;0.75;0.86;0.95;0.74
OPENJPA;2;IBK;6;4.431;3.147;No;OverSampling;0.75;1.00;0.86;0.76;0.99;0.85
OPENJPA;2;IBK;6;4.431;3.147;Yes;OverSampling;0.66;0.85;0.74;0.60;0.95;0.73
OPENJPA;2;Naive Bayes;6;4.431;3.147;No;UnderSampling;0.25;0.61;0.36;0.27;0.87;0.32
OPENJPA;2;Naive Bayes;6;4.431;3.147;Yes;UnderSampling;0.23;0.59;0.33;0.24;0.87;0.29
OPENJPA;2;Random Forest;6;4.431;3.147;No;UnderSampling;0.20;1.00;0.34;0.60;0.97;0.29
OPENJPA;2;Random Forest;6;4.431;3.147;Yes;UnderSampling;0.19;0.98;0.32;0.48;0.96;0.27
OPENJPA;2;IBK;6;4.431;3.147;No;UnderSampling;0.23;1.00;0.37;0.23;0.92;0.32
OPENJPA;2;IBK;6;4.431;3.147;Yes;UnderSampling;0.19;0.96;0.31;0.18;0.90;0.26
OPENJPA;3;Naive Bayes;10;3.953;5.439;No;No;0.28;0.23;0.25;0.20;0.79;0.21
OPENJPA;3;Naive Bayes;10;3.953;5.439;Yes;No;0.28;0.27;0.28;0.19;0.74;0.24
OPENJPA;3;Random Forest;10;3.953;5.439;No;No;0.68;0.24;0.36;0.39;0.79;0.34
OPENJPA;3;Random Forest;10;3.953;5.439;Yes;No;0.63;0.26;0.37;0.38;0.79;0.34
OPENJPA;3;IBK;10;3.953;5.439;No;No;0.67;0.40;0.50;0.34;0.81;0.48
OPENJPA;3;IBK;10;3.953;5.439;Yes;No;0.64;0.34;0.45;0.33;0.82;0.42
OPENJPA;3;Naive Bayes;10;3.953;5.439;No;SMOTE;0.30;0.31;0.31;0.20;0.78;0.26
OPENJPA;3;Naive Bayes;10;3.953;5.439;Yes;SMOTE;0.28;0.33;0.30;0.19;0.75;0.26
OPENJPA;3;Random Forest;10;3.953;5.439;No;SMOTE;0.63;0.27;0.38;0.39;0.80;0.36
OPENJPA;3;Random Forest;10;3.953;5.439;Yes;SMOTE;0.53;0.29;0.38;0.34;0.79;0.35
OPENJPA;3;IBK;10;3.953;5.439;No;SMOTE;0.57;0.40;0.47;0.30;0.81;0.45
OPENJPA;3;IBK;10;3.953;5.439;Yes;SMOTE;0.56;0.36;0.44;0.31;0.82;0.41
OPENJPA;3;Naive Bayes;10;3.953;5.439;No;OverSampling;0.25;0.50;0.34;0.24;0.88;0.30
OPENJPA;3;Naive Bayes;10;3.953;5.439;Yes;OverSampling;0.25;0.46;0.32;0.23;0.85;0.28
OPENJPA;3;Random Forest;10;3.953;5.439;No;OverSampling;0.77;1.00;0.87;0.97;1.00;0.86
OPENJPA;3;Random Forest;10;3.953;5.439;Yes;OverSampling;0.66;0.80;0.72;0.80;0.93;0.71
OPENJPA;3;IBK;10;3.953;5.439;No;OverSampling;0.69;1.00;0.82;0.70;0.99;0.81
OPENJPA;3;IBK;10;3.953;5.439;Yes;OverSampling;0.63;0.81;0.71;0.56;0.91;0.70
OPENJPA;3;Naive Bayes;10;3.953;5.439;No;UnderSampling;0.25;0.55;0.34;0.25;0.88;0.30
OPENJPA;3;Naive Bayes;10;3.953;5.439;Yes;UnderSampling;0.24;0.51;0.33;0.23;0.85;0.28
OPENJPA;3;Random Forest;10;3.953;5.439;No;UnderSampling;0.19;1.00;0.32;0.56;0.98;0.27
OPENJPA;3;Random Forest;10;3.953;5.439;Yes;UnderSampling;0.19;0.89;0.31;0.41;0.92;0.25
OPENJPA;3;IBK;10;3.953;5.439;No;UnderSampling;0.16;1.00;0.28;0.16;0.89;0.23
OPENJPA;3;IBK;10;3.953;5.439;Yes;UnderSampling;0.17;0.89;0.28;0.16;0.84;0.23
OPENJPA;4;Naive Bayes;14;4.36;5.412;No;No;0.28;0.30;0.29;0.20;0.78;0.24
OPENJPA;4;Naive Bayes;14;4.36;5.412;Yes;No;0.27;0.28;0.28;0.19;0.75;0.23
OPENJPA;4;Random Forest;14;4.36;5.412;No;No;0.80;0.51;0.62;0.71;0.97;0.60
OPENJPA;4;Random Forest;14;4.36;5.412;Yes;No;0.79;0.40;0.53;0.69;0.96;0.52
OPENJPA;4;IBK;14;4.36;5.412;No;No;0.70;0.59;0.64;0.51;0.91;0.62
OPENJPA;4;IBK;14;4.36;5.412;Yes;No;0.74;0.45;0.56;0.54;0.92;0.54
OPENJPA;4;Naive Bayes;14;4.36;5.412;No;SMOTE;0.31;0.39;0.35;0.20;0.79;0.30
OPENJPA;4;Naive Bayes;14;4.36;5.412;Yes;SMOTE;0.29;0.36;0.32;0.19;0.75;0.28
OPENJPA;4;Random Forest;14;4.36;5.412;No;SMOTE;0.75;0.58;0.65;0.67;0.97;0.63
OPENJPA;4;Random Forest;14;4.36;5.412;Yes;SMOTE;0.75;0.46;0.57;0.65;0.96;0.55
OPENJPA;4;IBK;14;4.36;5.412;No;SMOTE;0.68;0.65;0.66;0.52;0.92;0.64
OPENJPA;4;IBK;14;4.36;5.412;Yes;SMOTE;0.71;0.49;0.58;0.55;0.93;0.56
OPENJPA;4;Naive Bayes;14;4.36;5.412;No;OverSampling;0.26;0.45;0.33;0.24;0.84;0.29
OPENJPA;4;Naive Bayes;14;4.36;5.412;Yes;OverSampling;0.26;0.42;0.32;0.22;0.82;0.28
OPENJPA;4;Random Forest;14;4.36;5.412;No;OverSampling;0.67;1.00;0.81;0.98;1.00;0.79
OPENJPA;4;Random Forest;14;4.36;5.412;Yes;OverSampling;0.63;0.91;0.74;0.92;0.99;0.73
OPENJPA;4;IBK;14;4.36;5.412;No;OverSampling;0.62;1.00;0.76;0.70;0.99;0.75
OPENJPA;4;IBK;14;4.36;5.412;Yes;OverSampling;0.60;0.91;0.72;0.66;0.96;0.70
OPENJPA;4;Naive Bayes;14;4.36;5.412;No;UnderSampling;0.28;0.46;0.35;0.27;0.86;0.31
OPENJPA;4;Naive Bayes;14;4.36;5.412;Yes;UnderSampling;0.27;0.45;0.34;0.24;0.83;0.29
OPENJPA;4;Random Forest;14;4.36;5.412;No;UnderSampling;0.20;1.00;0.33;0.57;0.97;0.28
OPENJPA;4;Random Forest;14;4.36;5.412;Yes;UnderSampling;0.20;0.97;0.34;0.45;0.96;0.28
OPENJPA;4;IBK;14;4.36;5.412;No;UnderSampling;0.17;1.00;0.30;0.17;0.89;0.24
OPENJPA;4;IBK;14;4.36;5.412;Yes;UnderSampling;0.18;0.94;0.31;0.18;0.88;0.25
OPENJPA;5;Naive Bayes;19;4.589;3.624;No;No;0.30;0.30;0.30;0.26;0.86;0.27
OPENJPA;5;Naive Bayes;19;4.589;3.624;Yes;No;0.30;0.28;0.29;0.25;0.84;0.27
OPENJPA;5;Random Forest;19;4.589;3.624;No;No;0.48;0.16;0.25;0.34;0.88;0.23
OPENJPA;5;Random Forest;19;4.589;3.624;Yes;No;0.50;0.19;0.28;0.34;0.88;0.26
OPENJPA;5;IBK;19;4.589;3.624;No;No;0.46;0.30;0.37;0.20;0.83;0.35
OPENJPA;5;IBK;19;4.589;3.624;Yes;No;0.45;0.27;0.33;0.21;0.82;0.32
